Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,The Parable of the Tenants,Mark 12:1-12[[@Bible:Mark 12:1-12]],Mark 12:1-12
,Paying Taxes to Caesar,Mark 12:13-17[[@Bible:Mark 12:13-17]],Mark 12:13-17
,Marriage at the Resurrection,Mark 12:18-27[[@Bible:Mark 12:18-27]],Mark 12:18-27
,The Greatest Commandment,Mark 12:28-34[[@Bible:Mark 12:28-34]],Mark 12:28-34
,Whose Son Is the Christ,Mark 12:35-40[[@Bible:Mark 12:35-40]],Mark 12:35-40
,The Widow's Offering,Mark 12:41-44[[@Bible:Mark 12:41-44]],Mark 12:41-44
,Signs of the End of the Age,Mark 13:1-31[[@Bible:Mark 13:1-31]],Mark 13:1-31
,The Day and Hour Unknown,Mark 13:32-37[[@Bible:Mark 13:32-37]],Mark 13:32-37
,Jesus Anointed at Bethany,Mark 14:1-11[[@Bible:Mark 14:1-11]],Mark 14:1-11
,The Lord's Supper,Mark 14:12-26[[@Bible:Mark 14:12-26]],Mark 14:12-26
,Jesus Predicts Peter's Denial,Mark 14:27-31[[@Bible:Mark 14:27-31]],Mark 14:27-31
,Gethsemane,Mark 14:32-42[[@Bible:Mark 14:32-42]],Mark 14:32-42
,Jesus Arrested,Mark 14:43-52[[@Bible:Mark 14:43-52]],Mark 14:43-52
,Before the Sanhedrin,Mark 14:53-65[[@Bible:Mark 14:53-65]],Mark 14:53-65
,Peter Disowns Jesus,Mark 14:66-72[[@Bible:Mark 14:66-72]],Mark 14:66-72
,Jesus Before Pilate,Mark 15:1-15[[@Bible:Mark 15:1-15]],Mark 15:1-15
,The Soldiers Mock Jesus,Mark 15:16-20[[@Bible:Mark 15:16-20]],Mark 15:16-20
,The Crucifixion,Mark 15:21-32[[@Bible:Mark 15:21-32]],Mark 15:21-32
,The Death of Jesus,Mark 15:33-41[[@Bible:Mark 15:33-41]],Mark 15:33-41
,The Burial of Jesus,Mark 15:42-47[[@Bible:Mark 15:42-47]],Mark 15:42-47
,The Resurrection,Mark 16:1-8[[@Bible:Mark 16:1-8]],Mark 16:1-8
,((The most reliable early manuscripts and other ancient witnesses do not have Mark 16:9-20.)),Mark 16:9-20[[@Bible:Mark 16:9-20]],Mark 16:9-20
Luke,,,
,Introduction,Luke 1:1-4[[@Bible:Luke 1:1-4]],Luke 1:1-4
,The Birth of John the Baptist Foretold,Luke 1:5-25[[@Bible:Luke 1:5-25]],Luke 1:5-25
,The Birth of Jesus Foretold,Luke 1:26-38[[@Bible:Luke 1:26-38]],Luke 1:26-38
,Mary Visits Elizabeth,Luke 1:39-45[[@Bible:Luke 1:39-45]],Luke 1:39-45
,Mary's Song,Luke 1:46-56[[@Bible:Luke 1:46-56]],Luke 1:46-56
,The Birth of John the Baptist,Luke 1:57-66[[@Bible:Luke 1:57-66]],Luke 1:57-66
,Zechariah's Song,Luke 1:67-80[[@Bible:Luke 1:67-80]],Luke 1:67-80
,The Birth of Jesus,Luke 2:1-7[[@Bible:Luke 2:1-7]],Luke 2:1-7
,The Shepherds and the Angels,Luke 2:8-20[[@Bible:Luke 2:8-20]],Luke 2:8-20
,Jesus Presented in the Temple,Luke 2:21-40[[@Bible:Luke 2:21-40]],Luke 2:21-40
,The Boy Jesus at the Temple,Luke 2:41-52[[@Bible:Luke 2:41-52]],Luke 2:41-52
,John the Baptist Prepares the Way,Luke 3:1-20[[@Bible:Luke 3:1-20]],Luke 3:1-20
,The Baptism and Genealogy of Jesus,Luke 3:21-38[[@Bible:Luke 3:21-38]],Luke 3:21-38
,The Temptation of Jesus,Luke 4:1-13[[@Bible:Luke 4:1-13]],Luke 4:1-13
,Jesus Rejected at Nazareth,Luke 4:14-30[[@Bible:Luke 4:14-30]],Luke 4:14-30
,Jesus Drives Out an Evil Spirit,Luke 4:31-37[[@Bible:Luke 4:31-37]],Luke 4:31-37
,Jesus Heals Many,Luke 4:38-44[[@Bible:Luke 4:38-44]],Luke 4:38-44
,The Calling of the First Disciples,Luke 5:1-11[[@Bible:Luke 5:1-11]],Luke 5:1-11
,The Man With Leprosy,Luke 5:12-16[[@Bible:Luke 5:12-16]],Luke 5:12-16
,Jesus Heals a Paralytic,Luke 5:17-26[[@Bible:Luke 5:17-26]],Luke 5:17-26
,The Calling of Levi,Luke 5:27-32[[@Bible:Luke 5:27-32]],Luke 5:27-32
,Jesus Questioned About Fasting,Luke 5:33-39[[@Bible:Luke 5:33-39]],Luke 5:33-39
,Lord of the Sabbath,Luke 6:1-11[[@Bible:Luke 6:1-11]],Luke 6:1-11
,The Twelve Apostles,Luke 6:12-16[[@Bible:Luke 6:12-16]],Luke 6:12-16
,Blessings and Woes,Luke 6:17-26[[@Bible:Luke 6:17-26]],Luke 6:17-26
,Love for Enemies,Luke 6:27-36[[@Bible:Luke 6:27-36]],Luke 6:27-36
,Judging Others,Luke 6:37-42[[@Bible:Luke 6:37-42]],Luke 6:37-42
,A Tree and Its Fruit,Luke 6:43-45[[@Bible:Luke 6:43-45]],Luke 6:43-45
,The Wise and Foolish Builders,Luke 6:46-49[[@Bible:Luke 6:46-49]],Luke 6:46-49
,The Faith of the Centurion,Luke 7:1-10[[@Bible:Luke 7:1-10]],Luke 7:1-10
,Jesus Raises a Widow's Son,Luke 7:11-17[[@Bible:Luke 7:11-17]],Luke 7:11-17
,Jesus and John the Baptist,Luke 7:18-35[[@Bible:Luke 7:18-35]],Luke 7:18-35
,Jesus Anointed by a Sinful Woman,Luke 7:36-50[[@Bible:Luke 7:36-50]],Luke 7:36-50
,The Parable of the Sower,Luke 8:1-15[[@Bible:Luke 8:1-15]],Luke 8:1-15
,A Lamp on a Stand,Luke 8:16-18[[@Bible:Luke 8:16-18]],Luke 8:16-18
,Jesus' Mother and Brothers,Luke 8:19-21[[@Bible:Luke 8:19-21]],Luke 8:19-21
,Jesus Calms the Storm,Luke 8:22-25[[@Bible:Luke 8:22-25]],Luke 8:22-25
,The Healing of a Demon-possessed Man,Luke 8:26-39[[@Bible:Luke 8:26-39]],Luke 8:26-39
,A Dead Girl and a Sick Woman,Luke 8:40-56[[@Bible:Luke 8:40-56]],Luke 8:40-56
,Jesus Sends Out the Twelve,Luke 9:1-9[[@Bible:Luke 9:1-9]],Luke 9:1-9
,Jesus Feeds the Five Thousand,Luke 9:10-17[[@Bible:Luke 9:10-17]],Luke 9:10-17
,Peter's Confession of Christ,Luke 9:18-27[[@Bible:Luke 9:18-27]],Luke 9:18-27
,The Transfiguration,Luke 9:28-36[[@Bible:Luke 9:28-36]],Luke 9:28-36
,The Healing of a Boy With an Evil Spirit,Luke 9:37-45[[@Bible:Luke 9:37-45]],Luke 9:37-45
,Who Will Be the Greatest,Luke 9:46-50[[@Bible:Luke 9:46-50]],Luke 9:46-50
,Samaritan Opposition,Luke 9:51-56[[@Bible:Luke 9:51-56]],Luke 9:51-56
,The Cost of Following Jesus,Luke 9:57-62[[@Bible:Luke 9:57-62]],Luke 9:57-62
,Jesus Sends Out the Seventy-two,Luke 10:1-24[[@Bible:Luke 10:1-24]],Luke 10:1-24
,The Parable of the Good Samaritan,Luke 10:25-37[[@Bible:Luke 10:25-37]],Luke 10:25-37
,At the Home of Martha and Mary,Luke 10:38-42[[@Bible:Luke 10:38-42]],Luke 10:38-42
,Jesus' Teaching on Prayer,Luke 11:1-13[[@Bible:Luke 11:1-13]],Luke 11:1-13
,Jesus and Beelzebub,Luke 11:14-28[[@Bible:Luke 11:14-28]],Luke 11:14-28
,The Sign of Jonah,Luke 11:29-32[[@Bible:Luke 11:29-32]],Luke 11:29-32
,The Lamp of the Body,Luke 11:33-36[[@Bible:Luke 11:33-36]],Luke 11:33-36
,Six Woes,Luke 11:37-54[[@Bible:Luke 11:37-54]],Luke 11:37-54
,Warnings and Encouragements,Luke 12:1-12[[@Bible:Luke 12:1-12]],Luke 12:1-12
,The Parable of the Rich Fool,Luke 12:13-21[[@Bible:Luke 12:13-21]],Luke 12:13-21
,Do Not Worry,Luke 12:22-34[[@Bible:Luke 12:22-34]],Luke 12:22-34
,Watchfulness,Luke 12:35-48[[@Bible:Luke 12:35-48]],Luke 12:35-48
,Not Peace but Division,Luke 12:49-53[[@Bible:Luke 12:49-53]],Luke 12:49-53
,Interpreting the Times,Luke 12:54-59[[@Bible:Luke 12:54-59]],Luke 12:54-59
,Repent or Perish,Luke 13:1-9[[@Bible:Luke 13:1-9]],Luke 13:1-9
,A Crippled Woman Healed on the Sabbath,Luke 13:10-17[[@Bible:Luke 13:10-17]],Luke 13:10-17
,The Parables of the Mustard Seed and the Yeast,Luke 13:18-21[[@Bible:Luke 13:18-21]],Luke 13:18-21
,The Narrow Door,Luke 13:22-30[[@Bible:Luke 13:22-30]],Luke 13:22-30
,Jesus' Sorrow for Jerusalem,Luke 13:31-35[[@Bible:Luke 13:31-35]],Luke 13:31-35
,Jesus at a Pharisee's House,Luke 14:1-14[[@Bible:Luke 14:1-14]],Luke 14:1-14
,The Parable of the Great Banquet,Luke 14:15-24[[@Bible:Luke 14:15-24]],Luke 14:15-24
,The Cost of Being a Disciple,Luke 14:25-35[[@Bible:Luke 14:25-35]],Luke 14:25-35
,The Parable of the Lost Sheep,Luke 15:1-7[[@Bible:Luke 15:1-7]],Luke 15:1-7
,The Parable of the Lost Coin,Luke 15:8-10[[@Bible:Luke 15:8-10]],Luke 15:8-10
,The Parable of the Lost Son,Luke 15:11-32[[@Bible:Luke 15:11-32]],Luke 15:11-32
,The Parable of the Shrewd Manager,Luke 16:1-15[[@Bible:Luke 16:1-15]],Luke 16:1-15
,Additional Teachings,Luke 16:16-18[[@Bible:Luke 16:16-18]],Luke 16:16-18
,The Rich Man and Lazarus,Luke 16:19-31[[@Bible:Luke 16:19-31]],Luke 16:19-31
,"Sin, Faith, Duty",Luke 17:1-10[[@Bible:Luke 17:1-10]],Luke 17:1-10
,Ten Healed of Leprosy,Luke 17:11-19[[@Bible:Luke 17:11-19]],Luke 17:11-19
,The Coming of the Kingdom of God,Luke 17:20-37[[@Bible:Luke 17:20-37]],Luke 17:20-37
,The Parable of the Persistent Widow,Luke 18:1-8[[@Bible:Luke 18:1-8]],Luke 18:1-8
,The Parable of the Pharisee and the Tax Collector,Luke 18:9-14[[@Bible:Luke 18:9-14]],Luke 18:9-14
,The Little Children and Jesus,Luke 18:15-17[[@Bible:Luke 18:15-17]],Luke 18:15-17
,The Rich Ruler,Luke 18:18-30[[@Bible:Luke 18:18-30]],Luke 18:18-30
,Jesus Again Predicts His Death,Luke 18:31-34[[@Bible:Luke 18:31-34]],Luke 18:31-34
,A Blind Beggar Receives His Sight,Luke 18:35-43[[@Bible:Luke 18:35-43]],Luke 18:35-43
,Zacchaeus the Tax Collector,Luke 19:1-10[[@Bible:Luke 19:1-10]],Luke 19:1-10
,The Parable of the Ten Minas,Luke 19:11-27[[@Bible:Luke 19:11-27]],Luke 19:11-27
,The Triumphal Entry,Luke 19:28-44[[@Bible:Luke 19:28-44]],Luke 19:28-44
,Jesus at the Temple,Luke 19:45-48[[@Bible:Luke 19:45-48]],Luke 19:45-48
,The Authority of Jesus Questioned,Luke 20:1-8[[@Bible:Luke 20:1-8]],Luke 20:1-8
,The Parable of the Tenants,Luke 20:9-19[[@Bible:Luke 20:9-19]],Luke 20:9-19
,Paying Taxes to Caesar,Luke 20:20-26[[@Bible:Luke 20:20-26]],Luke 20:20-26
,The Resurrection and Marriage,Luke 20:27-40[[@Bible:Luke 20:27-40]],Luke 20:27-40
,Whose Son Is the Christ?,Luke 20:41-47[[@Bible:Luke 20:41-47]],Luke 20:41-47
,The Widow's Offering,Luke 21:1-4[[@Bible:Luke 21:1-4]],Luke 21:1-4
,Signs of the End of the Age,Luke 21:5-38[[@Bible:Luke 21:5-38]],Luke 21:5-38
,Judas Agrees to Betray Jesus,Luke 22:1-6[[@Bible:Luke 22:1-6]],Luke 22:1-6
,The Last Supper,Luke 22:7-38[[@Bible:Luke 22:7-38]],Luke 22:7-38
,Jesus Prays on the Mount of Olives,Luke 22:39-46[[@Bible:Luke 22:39-46]],Luke 22:39-46
,Jesus Arrested,Luke 22:47-53[[@Bible:Luke 22:47-53]],Luke 22:47-53
,Peter Disowns Jesus,Luke 22:54-62[[@Bible:Luke 22:54-62]],Luke 22:54-62
,The Guards Mock Jesus,Luke 22:63-65[[@Bible:Luke 22:63-65]],Luke 22:63-65
,Jesus Before Pilate and Herod,Luke 22:66-23:25[[@Bible:Luke 22:66-23:25]],Luke 22:66-23:25
,The Crucifixion,Luke 23:26-43[[@Bible:Luke 23:26-43]],Luke 23:26-43
,Jesus' Death,Luke 23:44-49[[@Bible:Luke 23:44-49]],Luke 23:44-49
,Jesus' Burial,Luke 23:50-56[[@Bible:Luke 23:50-56]],Luke 23:50-56
,The Resurrection,Luke 24:1-12[[@Bible:Luke 24:1-12]],Luke 24:1-12
,On the Road to Emmaus,Luke 24:13-35[[@Bible:Luke 24:13-35]],Luke 24:13-35
,Jesus Appears to the Disciples,Luke 24:36-49[[@Bible:Luke 24:36-49]],Luke 24:36-49
,The Ascension,Luke 24:50-53[[@Bible:Luke 24:50-53]],Luke 24:50-53
John,,,
,The Word Became Flesh,John 1:1-18[[@Bible:John 1:1-18]],John 1:1-18
,John the Baptist Denies Being the Christ,John 1:19-28[[@Bible:John 1:19-28]],John 1:19-28
,Jesus the Lamb of God,John 1:29-34[[@Bible:John 1:29-34]],John 1:29-34
,Jesus' First Disciples,John 1:35-42[[@Bible:John 1:35-42]],John 1:35-42
,Jesus Calls Philip and Nathanael,John 1:43-51[[@Bible:John 1:43-51]],John 1:43-51
,Jesus Changes Water to Wine,John 2:1-11[[@Bible:John 2:1-11]],John 2:1-11
,Jesus Clears the Temple,John 2:12-25[[@Bible:John 2:12-25]],John 2:12-25
,Jesus Teaches Nicodemus,John 3:1-21[[@Bible:John 3:1-21]],John 3:1-21
,John the Baptist's Testimony About Jesus,John 3:22-36[[@Bible:John 3:22-36]],John 3:22-36
,Jesus Talks With a Samaritan Woman,John 4:1-26[[@Bible:John 4:1-26]],John 4:1-26
,The Disciples Rejoin Jesus,John 4:27-38[[@Bible:John 4:27-38]],John 4:27-38
,Many Samaritans Believe,John 4:39-42[[@Bible:John 4:39-42]],John 4:39-42
,Jesus Heals the Official's Son,John 4:43-54[[@Bible:John 4:43-54]],John 4:43-54
,The Healing at the Pool,John 5:1-15[[@Bible:John 5:1-15]],John 5:1-15
,Life Through the Son,John 5:16-30[[@Bible:John 5:16-30]],John 5:16-30
,Testimonies About Jesus,John 5:31-47[[@Bible:John 5:31-47]],John 5:31-47
,Jesus Feeds the Five Thousand,John 6:1-15[[@Bible:John 6:1-15]],John 6:1-15
,Jesus Walks on the Water,John 6:16-24[[@Bible:John 6:16-24]],John 6:16-24
,Jesus the Bread of Life,John 6:25-59[[@Bible:John 6:25-59]],John 6:25-59
,Many Disciples Desert Jesus,John 6:60-71[[@Bible:John 6:60-71]],John 6:60-71
,Jesus Goes to the Feast of Tabernacles,John 7:1-13[[@Bible:John 7:1-13]],John 7:1-13
,Jesus Teaches at the Feast,John 7:14-24[[@Bible:John 7:14-24]],John 7:14-24
,Is Jesus the Christ?,John 7:25-44[[@Bible:John 7:25-44]],John 7:25-44
,Unbelief of the Jewish Leaders,John 7:45-8:11[[@Bible:John 7:45-8:11]],John 7:45-8:11
,The Validity of Jesus' Testimony,John 8:12-30[[@Bible:John 8:12-30]],John 8:12-30
,The Children of Abraham,John 8:31-41[[@Bible:John 8:31-41]],John 8:31-41
,The Children of the Devil,John 8:42-47[[@Bible:John 8:42-47]],John 8:42-47
,The Claims of Jesus About Himself,John 8:48-59[[@Bible:John 8:48-59]],John 8:48-59
,Jesus Heals a Man Born Blind,John 9:1-12[[@Bible:John 9:1-12]],John 9:1-12
,The Pharisees Investigate the Healing,John 9:13-34[[@Bible:John 9:13-34]],John 9:13-34
,Spiritual Blindness,John 9:35-41[[@Bible:John 9:35-41]],John 9:35-41
,The Shepherd and His Flock,John 10:1-21[[@Bible:John 10:1-21]],John 10:1-21
,The Unbelief of the Jews,John 10:22-42[[@Bible:John 10:22-42]],John 10:22-42
,The Death of Lazarus,John 11:1-16[[@Bible:John 11:1-16]],John 11:1-16
,Jesus Comforts the Sisters,John 11:17-37[[@Bible:John 11:17-37]],John 11:17-37
,Jesus Raises Lazarus From the Dead,John 11:38-44[[@Bible:John 11:38-44]],John 11:38-44
,The Plot to Kill Jesus,John 11:45-57[[@Bible:John 11:45-57]],John 11:45-57
,Jesus Anointed at Bethany,John 12:1-11[[@Bible:John 12:1-11]],John 12:1-11
,The Triumphal Entry,John 12:12-19[[@Bible:John 12:12-19]],John 12:12-19
,Jesus Predicts His Death,John 12:20-36[[@Bible:John 12:20-36]],John 12:20-36
,The Jews Continue in Their Unbelief,John 12:37-50[[@Bible:John 12:37-50]],John 12:37-50
,Jesus Washes His Disciples' Feet,John 13:1-17[[@Bible:John 13:1-17]],John 13:1-17
,Jesus Predicts His Betrayal,John 13:18-30[[@Bible:John 13:18-30]],John 13:18-30
,Jesus Predicts Peter's Denial,John 13:31-38[[@Bible:John 13:31-38]],John 13:31-38
,Jesus Comforts His Disciples,John 14:1-4[[@Bible:John 14:1-4]],John 14:1-4
,Jesus the Way to the Father,John 14:5-14[[@Bible:John 14:5-14]],John 14:5-14
,Jesus Promises the Holy Spirit,John 14:15-31[[@Bible:John 14:15-31]],John 14:15-31
,The Vine and the Branches,John 15:1-17[[@Bible:John 15:1-17]],John 15:1-17
,The World Hates the Disciples,John 15:18-16:4[[@Bible:John 15:18-16:4]],John 15:18-16:4
,The Work of the Holy Spirit,John 16:5-16[[@Bible:John 16:5-16]],John 16:5-16
,The Disciples' Grief Will Turn to Joy,John 16:17-33[[@Bible:John 16:17-33]],John 16:17-33
,Jesus Prays for Himself,John 17:1-5[[@Bible:John 17:1-5]],John 17:1-5
,Jesus Prays for His Disciples,John 17:6-19[[@Bible:John 17:6-19]],John 17:6-19
,Jesus Prays for All Believers,John 17:20-26[[@Bible:John 17:20-26]],John 17:20-26
,Jesus Arrested,John 18:1-11[[@Bible:John 18:1-11]],John 18:1-11
,Jesus Taken to Annas,John 18:12-14[[@Bible:John 18:12-14]],John 18:12-14
,Peter's First Denial,John 18:15-18[[@Bible:John 18:15-18]],John 18:15-18
,The High Priest Questions Jesus,John 18:19-24[[@Bible:John 18:19-24]],John 18:19-24
,Peter's Second and Third Denials,John 18:25-27[[@Bible:John 18:25-27]],John 18:25-27
,Jesus Before Pilate,John 18:28-40[[@Bible:John 18:28-40]],John 18:28-40
,Jesus Sentenced to be Crucified,John 19:1-16[[@Bible:John 19:1-16]],John 19:1-16
,The Crucifixion,John 19:17-27[[@Bible:John 19:17-27]],John 19:17-27
,The Death of Jesus,John 19:28-37[[@Bible:John 19:28-37]],John 19:28-37
,The Burial of Jesus,John 19:38-42[[@Bible:John 19:38-42]],John 19:38-42
,The Empty Tomb,John 20:1-9[[@Bible:John 20:1-9]],John 20:1-9
,Jesus Appears to Mary Magdalene,John 20:10-18[[@Bible:John 20:10-18]],John 20:10-18
,Jesus Appears to His Disciples,John 20:19-23[[@Bible:John 20:19-23]],John 20:19-23
,Jesus Appears to Thomas,John 20:24-31[[@Bible:John 20:24-31]],John 20:24-31
,Jesus and the Miraculous Catch of Fish,John 21:1-14[[@Bible:John 21:1-14]],John 21:1-14
,Jesus Reinstates Peter,John 21:15-25[[@Bible:John 21:15-25]],John 21:15-25
Acts,,,
,Jesus Taken Up Into Heaven,Acts 1:1-11[[@Bible:Acts 1:1-11]],Acts 1:1-11
,Matthias Chosen to Replace Judas,Acts 1:12-26[[@Bible:Acts 1:12-26]],Acts 1:12-26
,The Holy Spirit Comes at Pentecost,Acts 2:1-13[[@Bible:Acts 2:1-13]],Acts 2:1-13
,Peter Addresses the Crowd,Acts 2:14-41[[@Bible:Acts 2:14-41]],Acts 2:14-41
,The Fellowship of the Believers,Acts 2:42-47[[@Bible:Acts 2:42-47]],Acts 2:42-47
,Peter Heals the Crippled Beggar,Acts 3:1-10[[@Bible:Acts 3:1-10]],Acts 3:1-10
,Peter Speaks to the Onlookers,Acts 3:11-26[[@Bible:Acts 3:11-26]],Acts 3:11-26
,Peter and John Before the Sanhedrin,Acts 4:1-22[[@Bible:Acts 4:1-22]],Acts 4:1-22
,The Believers' Prayer,Acts 4:23-31[[@Bible:Acts 4:23-31]],Acts 4:23-31
,The Believers Share Their Possessions,Acts 4:32-37[[@Bible:Acts 4:32-37]],Acts 4:32-37
,Ananias and Sapphira,Acts 5:1-11[[@Bible:Acts 5:1-11]],Acts 5:1-11
,The Apostles Heal Many,Acts 5:12-16[[@Bible:Acts 5:12-16]],Acts 5:12-16
,The Apostles Persecuted,Acts 5:17-42[[@Bible:Acts 5:17-42]],Acts 5:17-42
,The Choosing of the Seven,Acts 6:1-7[[@Bible:Acts 6:1-7]],Acts 6:1-7
,Stephen Seized,Acts 6:8-15[[@Bible:Acts 6:8-15]],Acts 6:8-15
,Stephen's Speech to the Sanhedrin,Acts 7:1-53[[@Bible:Acts 7:1-53]],Acts 7:1-53
,The Stoning of Stephen,Acts 7:54-8:1[[@Bible:Acts 7:54-8:1]],Acts 7:54-8:1
,The Church Persecuted and Scattered,Acts 8:2-3[[@Bible:Acts 8:2-3]],Acts 8:2-3
,Philip in Samaria,Acts 8:4-8[[@Bible:Acts 8:4-8]],Acts 8:4-8
,Simon the Sorcerer,Acts 8:9-25[[@Bible:Acts 8:9-25]],Acts 8:9-25
,Philip and the Ethiopian,Acts 8:26-40[[@Bible:Acts 8:26-40]],Acts 8:26-40
,Saul's Conversion,Acts 9:1-19[[@Bible:Acts 9:1-19]],Acts 9:1-19
,Saul in Damascus and Jerusalem,Acts 9:20-31[[@Bible:Acts 9:20-31]],Acts 9:20-31
,Aeneas and Dorcas,Acts 9:32-43[[@Bible:Acts 9:32-43]],Acts 9:32-43
,Cornelius Calls for Peter,Acts 10:1-8[[@Bible:Acts 10:1-8]],Acts 10:1-8
,Peter's Vision,Acts 10:9-23[[@Bible:Acts 10:9-23]],Acts 10:9-23
,Peter at Cornelius' House,Acts 10:24-48[[@Bible:Acts 10:24-48]],Acts 10:24-48
,Peter Explains His Actions,Acts 11:1-18[[@Bible:Acts 11:1-18]],Acts 11:1-18
,The Church in Antioch,Acts 11:19-30[[@Bible:Acts 11:19-30]],Acts 11:19-30
,Peter's Miraculous Escape From Prison,Acts 12:1-19[[@Bible:Acts 12:1-19]],Acts 12:1-19
,Herod's Death,Acts 12:20-25[[@Bible:Acts 12:20-25]],Acts 12:20-25
,Barnabas and Saul Sent Off,Acts 13:1-3[[@Bible:Acts 13:1-3]],Acts 13:1-3
,On Cyprus,Acts 13:4-12[[@Bible:Acts 13:4-12]],Acts 13:4-12
,In Pisidian Antioch,Acts 13:13-52[[@Bible:Acts 13:13-52]],Acts 13:13-52
,In Iconium,Acts 14:1-7[[@Bible:Acts 14:1-7]],Acts 14:1-7
,In Lystra and Derbe,Acts 14:8-20[[@Bible:Acts 14:8-20]],Acts 14:8-20
,The Return to Antioch in Syria,Acts 14:21-28[[@Bible:Acts 14:21-28]],Acts 14:21-28
,The Council at Jerusalem,Acts 15:1-21[[@Bible:Acts 15:1-21]],Acts 15:1-21
,The Council's Letter to Gentile Believers,Acts 15:22-35[[@Bible:Acts 15:22-35]],Acts 15:22-35
,Disagreement Between Paul and Barnabas,Acts 15:36-41[[@Bible:Acts 15:36-41]],Acts 15:36-41
,Timothy Joins Paul and Silas,Acts 16:1-5[[@Bible:Acts 16:1-5]],Acts 16:1-5
,Paul's Vision of the Man of Macedonia,Acts 16:6-10[[@Bible:Acts 16:6-10]],Acts 16:6-10
,Lydia's Conversion in Philippi,Acts 16:11-15[[@Bible:Acts 16:11-15]],Acts 16:11-15
,Paul and Silas in Prison,Acts 16:16-40[[@Bible:Acts 16:16-40]],Acts 16:16-40
,In Thessalonica,Acts 17:1-9[[@Bible:Acts 17:1-9]],Acts 17:1-9
,In Berea,Acts 17:10-15[[@Bible:Acts 17:10-15]],Acts 17:10-15
,In Athens,Acts 17:16-34[[@Bible:Acts 17:16-34]],Acts 17:16-34
,In Corinth,Acts 18:1-17[[@Bible:Acts 18:1-17]],Acts 18:1-17
,"Priscilla, Aquila and Apollos",Acts 18:18-28[[@Bible:Acts 18:18-28]],Acts 18:18-28
,Paul in Ephesus,Acts 19:1-22[[@Bible:Acts 19:1-22]],Acts 19:1-22
,The Riot in Ephesus,Acts 19:23-41[[@Bible:Acts 19:23-41]],Acts 19:23-41
,Through Macedonia and Greece,Acts 20:1-6[[@Bible:Acts 20:1-6]],Acts 20:1-6
,Eutychus Raised From the Dead at Troas,Acts 20:7-12[[@Bible:Acts 20:7-12]],Acts 20:7-12
,Paul's Farewell to the Ephesian Elders,Acts 20:13-38[[@Bible:Acts 20:13-38]],Acts 20:13-38
,On to Jerusalem,Acts 21:1-16[[@Bible:Acts 21:1-16]],Acts 21:1-16
,Paul's Arrival at Jerusalem,Acts 21:17-26[[@Bible:Acts 21:17-26]],Acts 21:17-26
,Paul Arrested,Acts 21:27-36[[@Bible:Acts 21:27-36]],Acts 21:27-36
,Paul Speaks to the Crowd,Acts 21:37-22:21[[@Bible:Acts 21:37-22:21]],Acts 21:37-22:21
,Paul the Roman Citizen,Acts 22:22-23:11[[@Bible:Acts 22:22-23:11]],Acts 22:22-23:11
,The Plot to Kill Paul,Acts 23:12-22[[@Bible:Acts 23:12-22]],Acts 23:12-22
,Paul Transferred to Caesarea,Acts 23:23-35[[@Bible:Acts 23:23-35]],Acts 23:23-35
,The Trial Before Felix,Acts 24:1-27[[@Bible:Acts 24:1-27]],Acts 24:1-27
,The Trial Before Festus,Acts 25:1-12[[@Bible:Acts 25:1-12]],Acts 25:1-12
,Festus Consults King Agrippa,Acts 25:13-22[[@Bible:Acts 25:13-22]],Acts 25:13-22
,Paul Before Agrippa,Acts 25:23-26:32[[@Bible:Acts 25:23-26:32]],Acts 25:23-26:32
,Paul Sails for Rome,Acts 27:1-12[[@Bible:Acts 27:1-12]],Acts 27:1-12
,The Storm,Acts 27:13-26[[@Bible:Acts 27:13-26]],Acts 27:13-26
,The Shipwreck,Acts 27:27-44[[@Bible:Acts 27:27-44]],Acts 27:27-44
,Ashore on Malta,Acts 28:1-10[[@Bible:Acts 28:1-10]],Acts 28:1-10
,Arrival at Rome,Acts 28:11-16[[@Bible:Acts 28:11-16]],Acts 28:11-16
,Paul Preaches at Rome Under Guard,Acts 28:17-31[[@Bible:Acts 28:17-31]],Acts 28:17-31
Romans,,,
,Paul's Longing to Visit Rome,Romans 1:1-17[[@Bible:Romans 1:1-17]],Romans 1:1-17
,God's Wrath Against Mankind,Romans 1:18-32[[@Bible:Romans 1:18-32]],Romans 1:18-32
,God's Righteous Judgment,Romans 2:1-16[[@Bible:Romans 2:1-16]],Romans 2:1-16
,The Jews and the Law,Romans 2:17-29[[@Bible:Romans 2:17-29]],Romans 2:17-29
,God's Faithfulness,Romans 3:1-8[[@Bible:Romans 3:1-8]],Romans 3:1-8
,No One is Righteous,Romans 3:9-20[[@Bible:Romans 3:9-20]],Romans 3:9-20
,Righteousness Through Faith,Romans 3:21-31[[@Bible:Romans 3:21-31]],Romans 3:21-31
,Abraham Justified by Faith,Romans 4:1-25[[@Bible:Romans 4:1-25]],Romans 4:1-25
,Peace and Joy,Romans 5:1-11[[@Bible:Romans 5:1-11]],Romans 5:1-11
,"Death Through Adam, Life Through Christ",Romans 5:12-21[[@Bible:Romans 5:12-21]],Romans 5:12-21
,"Dead to Sin, Alive in Christ",Romans 6:1-14[[@Bible:Romans 6:1-14]],Romans 6:1-14
,Slaves to Righteousness,Romans 6:15-23[[@Bible:Romans 6:15-23]],Romans 6:15-23
